prefecture,area,type,date_from,date_to
千葉県,松戸市,other,2021-04-20,2021-08-01
千葉県,柏市,other,2021-04-20,2021-06-20
千葉県,千葉市,other,2021-04-28,2021-08-01
千葉県,習志野市,other,2021-04-28,2021-08-01
千葉県,野田市,other,2021-04-28,2021-06-20
千葉県,流山市,other,2021-04-28,2021-06-20
千葉県,八千代市,other,2021-04-28,2021-06-20
千葉県,鎌ケ谷市,other,2021-04-28,2021-06-20
千葉県,我孫子市,other,2021-04-28,2021-06-20
千葉県,市原市,other,2021-06-21,2021-08-01
千葉県,木更津市,other,2021-06-21,2021-07-11
千葉県,君津市,other,2021-06-21,2021-07-11
千葉県,富津市,other,2021-06-21,2021-07-11
千葉県,袖ケ浦市,other,2021-06-21,2021-07-11
千葉県,成田市,other,2021-07-02,2021-08-01
千葉県,柏市,other,2021-07-12,2021-08-01
千葉県,八千代市,other,2021-07-19,2021-08-01
千葉県,鎌ケ谷市,other,2021-07-19,2021-08-01
東京都,東京23区,other,2021-04-12,2021-04-24
東京都,武蔵野市,other,2021-04-12,2021-04-24
東京都,調布市,other,2021-04-12,2021-04-24
東京都,府中市,other,2021-04-12,2021-04-24
東京都,立川市,other,2021-04-12,2021-04-24
東京都,八王子市,other,2021-04-12,2021-04-24
東京都,町田市,other,2021-04-12,2021-04-24
東京都,東京23区,other,2021-06-21,2021-07-11
東京都,八王子市,other,2021-06-21,2021-07-11
東京都,立川市,other,2021-06-21,2021-07-11
東京都,武蔵野市,other,2021-06-21,2021-07-11
東京都,三鷹市,other,2021-06-21,2021-07-11
東京都,青梅市,other,2021-06-21,2021-07-11
東京都,府中市,other,2021-06-21,2021-07-11
東京都,昭島市,other,2021-06-21,2021-07-11
東京都,調布市,other,2021-06-21,2021-07-11
東京都,町田市,other,2021-06-21,2021-07-11
東京都,小金井市,other,2021-06-21,2021-07-11
東京都,小平市,other,2021-06-21,2021-07-11
東京都,日野市,other,2021-06-21,2021-07-11
東京都,東村山市,other,2021-06-21,2021-07-11
東京都,国分寺市,other,2021-06-21,2021-07-11
東京都,国立市,other,2021-06-21,2021-07-11
東京都,福生市,other,2021-06-21,2021-07-11
東京都,狛江市,other,2021-06-21,2021-07-11
東京都,東大和市,other,2021-06-21,2021-07-11
東京都,清瀬市,other,2021-06-21,2021-07-11
東京都,東久留米市,other,2021-06-21,2021-07-11
東京都,武蔵村山市,other,2021-06-21,2021-07-11
東京都,多摩市,other,2021-06-21,2021-07-11
東京都,稲城市,other,2021-06-21,2021-07-11
東京都,羽村市,other,2021-06-21,2021-07-11
東京都,あきる野市,other,2021-06-21,2021-07-11
東京都,西東京市,other,2021-06-21,2021-07-11
東京都,西多摩郡瑞穂町,other,2021-06-21,2021-07-11
東京都,西多摩郡日の出町,other,2021-06-21,2021-07-11
神奈川県,横浜市,other,2021-04-20,2021-07-21
神奈川県,川崎市,other,2021-04-20,2021-07-21
神奈川県,相模原市,other,2021-04-20,2021-07-21
神奈川県,厚木市,other,2021-04-20,2021-07-21
神奈川県,厚木市,other,2021-04-28,2021-07-21
神奈川県,座間市,other,2021-04-28,2021-07-11
神奈川県,大和市,other,2021-04-28,2021-06-20
神奈川県,海老名市,other,2021-04-28,2021-06-20
神奈川県,綾瀬市,other,2021-04-28,2021-06-20
神奈川県,鎌倉市,other,2021-04-28,2021-06-20
神奈川県,藤沢市,other,2021-05-12,2021-06-20
神奈川県,横須賀市,other,2021-05-12,2021-06-20
神奈川県,茅ヶ崎市,other,2021-05-12,2021-06-20
神奈川県,伊勢原市,other,2021-05-12,2021-06-20
神奈川県,逗子市,other,2021-05-12,2021-06-20
神奈川県,三浦市,other,2021-05-12,2021-06-20
神奈川県,高座郡寒川町,other,2021-05-12,2021-06-20
神奈川県,三浦郡葉山町,other,2021-05-12,2021-06-20
神奈川県,小田原市,other,2021-06-01,2021-07-11
神奈川県,平塚市,other,2021-06-01,2021-06-20
神奈川県,秦野市,other,2021-06-01,2021-06-20
神奈川県,横浜市,other,2021-07-22,2021-08-01
神奈川県,川崎市,other,2021-07-22,2021-08-01
神奈川県,相模原市,other,2021-07-22,2021-08-01
神奈川県,横須賀市,other,2021-07-22,2021-08-01
神奈川県,小田原市,other,2021-07-22,2021-08-01
神奈川県,茅ヶ崎市,other,2021-07-22,2021-08-01
神奈川県,平塚市,other,2021-07-22,2021-08-01
神奈川県,鎌倉市,other,2021-07-22,2021-08-01
神奈川県,藤沢市,other,2021-07-22,2021-08-01
神奈川県,逗子市,other,2021-07-22,2021-08-01
神奈川県,三浦市,other,2021-07-22,2021-08-01
神奈川県,秦野市,other,2021-07-22,2021-08-01
神奈川県,厚木市,other,2021-07-22,2021-08-01
神奈川県,大和市,other,2021-07-22,2021-08-01
神奈川県,伊勢原市,other,2021-07-22,2021-08-01
神奈川県,海老名市,other,2021-07-22,2021-08-01
神奈川県,座間市,other,2021-07-22,2021-08-01
神奈川県,南足柄市,other,2021-07-22,2021-08-01
神奈川県,綾瀬市,other,2021-07-22,2021-08-01
神奈川県,三浦郡葉山町,other,2021-07-22,2021-08-01
神奈川県,高座郡寒川町,other,2021-07-22,2021-08-01
神奈川県,中郡大磯町,other,2021-07-22,2021-08-01
神奈川県,中郡二宮町,other,2021-07-22,2021-08-01
神奈川県,足柄上郡中井町,other,2021-07-22,2021-08-01
神奈川県,足柄上郡大井町,other,2021-07-22,2021-08-01
神奈川県,足柄上郡松田町,other,2021-07-22,2021-08-01
神奈川県,足柄上郡山北町,other,2021-07-22,2021-08-01
神奈川県,足柄上郡開成町,other,2021-07-22,2021-08-01
神奈川県,足柄下郡箱根町,other,2021-07-22,2021-08-01
神奈川県,足柄下郡真鶴町,other,2021-07-22,2021-08-01
神奈川県,足柄下郡湯河原町,other,2021-07-22,2021-08-01
神奈川県,愛甲郡愛川町,other,2021-07-22,2021-08-01
富山県,富山市,other,2021-08-20,2021-09-12
石川県,金沢市,other,2021-05-16,2021-06-13
石川県,金沢市,other,2021-08-02,2021-09-30
山梨県,甲府市,other,2021-08-20,2021-09-12
山梨県,富士吉田市,other,2021-08-20,2021-09-12
山梨県,都留市,other,2021-08-20,2021-09-12
山梨県,山梨市,other,2021-08-20,2021-09-12
山梨県,大月市,other,2021-08-20,2021-09-12
山梨県,韮崎市,other,2021-08-20,2021-09-12
山梨県,南アルプス市,other,2021-08-20,2021-09-12
山梨県,北杜市,other,2021-08-20,2021-09-12
山梨県,甲斐市,other,2021-08-20,2021-09-12
山梨県,笛吹市,other,2021-08-20,2021-09-12
山梨県,上野原市,other,2021-08-20,2021-09-12
山梨県,甲州市,other,2021-08-20,2021-09-12
山梨県,中央市,other,2021-08-20,2021-09-12
山梨県,西八代郡市川三郷町,other,2021-08-20,2021-09-12
山梨県,南巨摩郡富士川町,other,2021-08-20,2021-09-12
山梨県,中巨摩郡昭和町,other,2021-08-20,2021-09-12
山梨県,南都留郡山中湖村,other,2021-08-20,2021-09-12
山梨県,南都留郡富士河口湖町,other,2021-08-20,2021-09-12
岐阜県,岐阜市,other,2021-05-09,2021-06-20
岐阜県,大垣市,other,2021-05-09,2021-06-20
岐阜県,多治見市,other,2021-05-09,2021-06-20
岐阜県,関市,other,2021-05-09,2021-06-20
岐阜県,中津川市,other,2021-05-09,2021-06-20
岐阜県,羽島市,other,2021-05-09,2021-06-20
岐阜県,美濃加茂市,other,2021-05-09,2021-06-20
岐阜県,土岐市,other,2021-05-09,2021-06-20
岐阜県,各務原市,other,2021-05-09,2021-06-20
岐阜県,可児市,other,2021-05-09,2021-06-20
岐阜県,瑞穂市,other,2021-05-09,2021-06-20
岐阜県,本巣市,other,2021-05-09,2021-06-20
岐阜県,羽島郡岐南町,other,2021-05-09,2021-06-20
岐阜県,羽島郡笠松町,other,2021-05-09,2021-06-20
岐阜県,養老郡養老町,other,2021-05-09,2021-06-20
岐阜県,本巣郡北方町,other,2021-05-09,2021-06-20
岐阜県,高山市,other,2021-05-16,2021-06-20
岐阜県,瑞浪市,other,2021-05-16,2021-06-20
岐阜県,恵那市,other,2021-05-16,2021-06-20
岐阜県,山県市,other,2021-05-16,2021-06-20
岐阜県,下呂市,other,2021-05-16,2021-06-20
岐阜県,可児郡御嵩町,other,2021-05-16,2021-06-20
岐阜県,岐阜市,other,2021-08-20,2021-08-26
岐阜県,羽島市,other,2021-08-20,2021-08-26
岐阜県,各務原市,other,2021-08-20,2021-08-26
岐阜県,山県市,other,2021-08-20,2021-08-26
岐阜県,瑞穂市,other,2021-08-20,2021-08-26
岐阜県,本巣市,other,2021-08-20,2021-08-26
岐阜県,羽島郡岐南町,other,2021-08-20,2021-08-26
岐阜県,羽島郡笠松町,other,2021-08-20,2021-08-26
岐阜県,本巣郡北方町,other,2021-08-20,2021-08-26
岐阜県,大垣市,other,2021-08-20,2021-08-26
岐阜県,美濃加茂市,other,2021-08-20,2021-08-26
岐阜県,可児市,other,2021-08-20,2021-08-26
岐阜県,可児郡御嵩町,other,2021-08-20,2021-08-26
岐阜県,多治見市,other,2021-08-20,2021-08-26
岐阜県,中津川市,other,2021-08-20,2021-08-26
静岡県,静岡市,other,2021-08-08,2021-08-19
静岡県,浜松市,other,2021-08-08,2021-08-19
静岡県,沼津市,other,2021-08-08,2021-08-19
静岡県,熱海市,other,2021-08-08,2021-08-19
静岡県,三島市,other,2021-08-08,2021-08-19
静岡県,富士宮市,other,2021-08-08,2021-08-19
静岡県,伊東市,other,2021-08-08,2021-08-19
静岡県,富士市,other,2021-08-08,2021-08-19
静岡県,御殿場市,other,2021-08-08,2021-08-19
静岡県,下田市,other,2021-08-08,2021-08-19
静岡県,裾野市,other,2021-08-08,2021-08-19
静岡県,伊豆市,other,2021-08-08,2021-08-19
静岡県,伊豆の国市,other,2021-08-08,2021-08-19
静岡県,賀茂郡東伊豆町,other,2021-08-08,2021-08-19
静岡県,賀茂郡河津町,other,2021-08-08,2021-08-19
静岡県,賀茂郡南伊豆町,other,2021-08-08,2021-08-19
静岡県,賀茂郡松崎町,other,2021-08-08,2021-08-19
静岡県,賀茂郡西伊豆町,other,2021-08-08,2021-08-19
静岡県,田方郡函南町,other,2021-08-08,2021-08-19
静岡県,駿東郡清水町,other,2021-08-08,2021-08-19
静岡県,駿東郡長泉町,other,2021-08-08,2021-08-19
静岡県,駿東郡小山町,other,2021-08-08,2021-08-19
静岡県,磐田市,other,2021-08-15,2021-08-19
静岡県,焼津市,other,2021-08-15,2021-08-19
静岡県,藤枝市,other,2021-08-15,2021-08-19
静岡県,袋井市,other,2021-08-18,2021-08-19
静岡県,掛川市,other,2021-08-18,2021-08-19
静岡県,御前崎市,other,2021-08-18,2021-08-19
静岡県,菊川市,other,2021-08-18,2021-08-19
静岡県,牧之原市,other,2021-08-18,2021-08-19
静岡県,島田市,other,2021-08-18,2021-08-19
静岡県,湖西市,other,2021-08-18,2021-08-19
静岡県,周智郡森町,other,2021-08-18,2021-08-19
静岡県,榛原郡吉田町,other,2021-08-18,2021-08-19
愛知県,名古屋市,other,2021-04-20,2021-05-11
愛知県,名古屋市,other,2021-06-21,2021-07-11
愛知県,豊橋市,other,2021-06-21,2021-07-11
愛知県,小牧市,other,2021-06-21,2021-07-11
愛知県,岡崎市,other,2021-06-21,2021-07-02
愛知県,半田市,other,2021-06-21,2021-07-02
愛知県,春日井市,other,2021-06-21,2021-07-02
愛知県,津島市,other,2021-06-21,2021-07-02
愛知県,刈谷市,other,2021-06-21,2021-07-02
愛知県,犬山市,other,2021-06-21,2021-07-02
愛知県,高浜市,other,2021-06-21,2021-07-02
愛知県,清須市,other,2021-06-21,2021-07-02
愛知県,西春日井郡豊山町,other,2021-06-21,2021-07-02
愛知県,丹羽郡大口町,other,2021-06-21,2021-07-02
愛知県,海部郡大治町,other,2021-06-21,2021-07-02
愛知県,蒲郡市,other,2021-07-03,2021-07-11
愛知県,名古屋市,other,2021-08-08,2021-08-26
愛知県,春日井市,other,2021-08-08,2021-08-26
愛知県,江南市,other,2021-08-08,2021-08-26
愛知県,大府市,other,2021-08-08,2021-08-26
愛知県,尾張旭市,other,2021-08-08,2021-08-26
愛知県,日進市,other,2021-08-08,2021-08-26
愛知県,清須市,other,2021-08-08,2021-08-26
愛知県,あま市,other,2021-08-08,2021-08-26
愛知県,長久手市,other,2021-08-08,2021-08-26
愛知県,愛知郡東郷町,other,2021-08-08,2021-08-26
愛知県,海部郡大治町,other,2021-08-08,2021-08-26
愛知県,海部郡飛島村,other,2021-08-08,2021-08-20
愛知県,岡崎市,other,2021-08-21,2021-08-26
愛知県,一宮市,other,2021-08-21,2021-08-26
愛知県,瀬戸市,other,2021-08-21,2021-08-26
愛知県,半田市,other,2021-08-21,2021-08-26
愛知県,津島市,other,2021-08-21,2021-08-26
愛知県,刈谷市,other,2021-08-21,2021-08-26
愛知県,豊田市,other,2021-08-21,2021-08-26
愛知県,蒲郡市,other,2021-08-21,2021-08-26
愛知県,犬山市,other,2021-08-21,2021-08-26
愛知県,常滑市,other,2021-08-21,2021-08-26
愛知県,小牧市,other,2021-08-21,2021-08-26
愛知県,稲沢市,other,2021-08-21,2021-08-26
愛知県,東海市,other,2021-08-21,2021-08-26
愛知県,知立市,other,2021-08-21,2021-08-26
愛知県,高浜市,other,2021-08-21,2021-08-26
愛知県,岩倉市,other,2021-08-21,2021-08-26
愛知県,豊明市,other,2021-08-21,2021-08-26
愛知県,愛西市,other,2021-08-21,2021-08-26
愛知県,北名古屋市,other,2021-08-21,2021-08-26
愛知県,西春日井郡豊山町,other,2021-08-21,2021-08-26
愛知県,丹羽郡大口町,other,2021-08-21,2021-08-26
愛知県,丹羽郡扶桑町,other,2021-08-21,2021-08-26
愛知県,海部郡蟹江町,other,2021-08-21,2021-08-26
愛知県,知多郡阿久比町,other,2021-08-21,2021-08-26
愛知県,知多郡南知多町,other,2021-08-21,2021-08-26
愛知県,知多郡美浜町,other,2021-08-21,2021-08-26
愛知県,知多郡武豊町,other,2021-08-21,2021-08-26
愛知県,北設楽郡東栄町,other,2021-08-21,2021-08-26
三重県,桑名市,other,2021-05-09,2021-06-13
三重県,いなべ市,other,2021-05-09,2021-06-13
三重県,四日市市,other,2021-05-09,2021-06-20
三重県,鈴鹿市,other,2021-05-09,2021-06-13
三重県,亀山市,other,2021-05-09,2021-06-13
三重県,名張市,other,2021-05-09,2021-06-13
三重県,伊賀市,other,2021-05-09,2021-06-13
三重県,桑名郡木曽岬町,other,2021-05-09,2021-06-13
三重県,員弁郡東員町,other,2021-05-09,2021-06-13
三重県,三重郡菰野町,other,2021-05-09,2021-06-13
三重県,三重郡朝日町,other,2021-05-09,2021-06-13
三重県,三重郡川越町,other,2021-05-09,2021-06-13
三重県,桑名市,other,2021-08-20,2021-08-26
三重県,いなべ市,other,2021-08-20,2021-08-26
三重県,桑名郡木曽岬町,other,2021-08-20,2021-08-26
三重県,員弁郡東員町,other,2021-08-20,2021-08-26
三重県,四日市市,other,2021-08-20,2021-08-26
三重県,三重郡菰野町,other,2021-08-20,2021-08-26
三重県,三重郡朝日町,other,2021-08-20,2021-08-26
三重県,三重郡川越町,other,2021-08-20,2021-08-26
三重県,鈴鹿市,other,2021-08-20,2021-08-26
三重県,亀山市,other,2021-08-20,2021-08-26
三重県,津市,other,2021-08-20,2021-08-26
三重県,松阪市,other,2021-08-20,2021-08-26
三重県,多気郡多気町,other,2021-08-20,2021-08-26
三重県,多気郡明和町,other,2021-08-20,2021-08-26
三重県,多気郡大台町,other,2021-08-20,2021-08-26
三重県,名張市,other,2021-08-20,2021-08-26
三重県,伊賀市,other,2021-08-20,2021-08-26
滋賀県,大津市,other,2021-08-08,2021-08-26
滋賀県,彦根市,other,2021-08-08,2021-08-26
滋賀県,長浜市,other,2021-08-08,2021-08-26
滋賀県,近江八幡市,other,2021-08-08,2021-08-26
滋賀県,草津市,other,2021-08-08,2021-08-26
滋賀県,守山市,other,2021-08-08,2021-08-26
滋賀県,栗東市,other,2021-08-08,2021-08-26
滋賀県,甲賀市,other,2021-08-08,2021-08-26
滋賀県,野洲市,other,2021-08-08,2021-08-26
滋賀県,湖南市,other,2021-08-08,2021-08-26
滋賀県,高島市,other,2021-08-08,2021-08-26
滋賀県,東近江市,other,2021-08-08,2021-08-26
滋賀県,米原市,other,2021-08-08,2021-08-26
京都府,京都市,other,2021-04-12,2021-04-24
京都府,京都市,other,2021-06-21,2021-07-11
京都府,京都市,other,2021-08-02,2021-08-19
京都府,宇治市,other,2021-08-17,2021-08-19
京都府,城陽市,other,2021-08-17,2021-08-19
京都府,向日市,other,2021-08-17,2021-08-19
京都府,長岡京市,other,2021-08-17,2021-08-19
京都府,八幡市,other,2021-08-17,2021-08-19
京都府,京田辺市,other,2021-08-17,2021-08-19
京都府,木津川市,other,2021-08-17,2021-08-19
大阪府,大阪市,other,2021-04-05,2021-04-24
大阪府,岸和田市,other,2021-06-21,2021-08-01
大阪府,豊中市,other,2021-06-21,2021-08-01
大阪府,池田市,other,2021-06-21,2021-08-01
大阪府,吹田市,other,2021-06-21,2021-08-01
大阪府,泉大津市,other,2021-06-21,2021-08-01
大阪府,高槻市,other,2021-06-21,2021-08-01
大阪府,貝塚市,other,2021-06-21,2021-08-01
大阪府,守口市,other,2021-06-21,2021-08-01
大阪府,枚方市,other,2021-06-21,2021-08-01
大阪府,茨木市,other,2021-06-21,2021-08-01
大阪府,八尾市,other,2021-06-21,2021-08-01
大阪府,泉佐野市,other,2021-06-21,2021-08-01
大阪府,富田林市,other,2021-06-21,2021-08-01
大阪府,寝屋川市,other,2021-06-21,2021-08-01
大阪府,河内長野市,other,2021-06-21,2021-08-01
大阪府,松原市,other,2021-06-21,2021-08-01
大阪府,大東市,other,2021-06-21,2021-08-01
大阪府,和泉市,other,2021-06-21,2021-08-01
大阪府,箕面市,other,2021-06-21,2021-08-01
大阪府,柏原市,other,2021-06-21,2021-08-01
大阪府,羽曳野市,other,2021-06-21,2021-08-01
大阪府,門真市,other,2021-06-21,2021-08-01
大阪府,摂津市,other,2021-06-21,2021-08-01
大阪府,高石市,other,2021-06-21,2021-08-01
大阪府,藤井寺市,other,2021-06-21,2021-08-01
大阪府,東大阪市,other,2021-06-21,2021-08-01
大阪府,泉南市,other,2021-06-21,2021-08-01
大阪府,四條畷市,other,2021-06-21,2021-08-01
大阪府,交野市,other,2021-06-21,2021-08-01
大阪府,大阪狭山市,other,2021-06-21,2021-08-01
大阪府,阪南市,other,2021-06-21,2021-08-01
兵庫県,尼崎市,other,2021-04-05,2021-04-24
兵庫県,西宮市,other,2021-04-05,2021-04-24
兵庫県,芦屋市,other,2021-04-05,2021-04-24
兵庫県,神戸市,other,2021-04-05,2021-04-24
兵庫県,伊丹市,other,2021-04-22,2021-04-24
兵庫県,宝塚市,other,2021-04-22,2021-04-24
兵庫県,川西市,other,2021-04-22,2021-04-24
兵庫県,三田市,other,2021-04-22,2021-04-24
兵庫県,明石市,other,2021-04-22,2021-04-24
兵庫県,川辺郡猪名川町,other,2021-04-22,2021-04-24
兵庫県,神戸市,other,2021-06-21,2021-07-11
兵庫県,尼崎市,other,2021-06-21,2021-07-11
兵庫県,西宮市,other,2021-06-21,2021-07-11
兵庫県,芦屋市,other,2021-06-21,2021-07-11
兵庫県,伊丹市,other,2021-06-21,2021-07-11
兵庫県,宝塚市,other,2021-06-21,2021-07-11
兵庫県,川西市,other,2021-06-21,2021-07-11
兵庫県,三田市,other,2021-06-21,2021-07-11
兵庫県,川辺郡猪名川町,other,2021-06-21,2021-07-11
兵庫県,明石市,other,2021-06-21,2021-07-11
